sample_id,selection_group,selection_role,selection_tier,distance_stratum,cluster,grid_id,center_lon,center_lat,center_x_3003,center_y_3003,distance_percentile,distance_to_medoid_k7,relative_assignment_margin,second_nearest_cluster,cleanup_cluster,cleanup_changed,within_cluster_weight,citywide_nonmedoid_weight,bldheight,blddensity,vertohor,treecover,grasscover,charlength,assigned_class_medoid_rmse_c_precision1,assigned_four_rmse_c_precision1,oracle_four_rmse_c_precision1,assigned_class_medoid_rmse_c,assigned_four_rmse_c,oracle_four_rmse_c,four_minus_class_medoid_rmse_c,assignment_regret_vs_oracle_c
C4_distance_stratified_random_1734,probability_sample,distance_stratified_random,preferred,D95_100,4,1734,7.634329677405086,45.03216214544076,1392450.0,4987450.0,0.9565798263193052,1.1570383983837629,0.0455320242828154,3,4,False,0.0167000668002672,0.0023616096731532,12.807446663218352,0.3320171930005548,0.2500520284990684,0.063596902731995,0.0376568187113741,500.0,0.044375422050858,0.044375422050858,0.044375422050858,0.0243281551380307,0.0243281551380307,0.0243281551380307,0.0,0.0
C4_distance_stratified_random_1957,probability_sample,distance_stratified_random,preferred,D00_25,4,1957,7.646978443988107,45.034113103816914,1393450.0,4987650.0,0.1376085504342017,0.399923897496971,0.5332150709357192,5,4,False,0.0832776664439991,0.0117765602367907,15.29464840166266,0.2735651700601651,0.7479401650061529,0.0713991833123393,0.0640748819280296,500.0,0.0334814062758726,0.0334814062758726,0.0334814062758726,0.0113132998468465,0.0113132998468465,0.0113132998468465,0.0,0.0
C4_distance_stratified_random_247,probability_sample,distance_stratified_random,preferred,D95_100,4,247,7.634757703163352,45.01416382778165,1392450.0,4985450.0,0.9625918503674016,1.1752608697265232,0.2016651812593887,2,4,False,0.0167000668002672,0.0023616096731532,16.7371028494306,0.1378170526316751,0.5290660186573313,0.1287186435047916,0.1337967130973288,500.0,0.0572585261143298,0.0572585261143298,0.0572585261143298,0.0346089108804187,0.0346089108804187,0.0346089108804187,0.0,0.0
C4_distance_stratified_random_3945,probability_sample,distance_stratified_random,preferred,D00_25,4,3945,7.663079317344611,45.05140600994246,1394750.0,4989550.0,0.2177688710754843,0.47527670210271,0.6022364458620657,5,4,False,0.0832776664439991,0.0117765602367907,18.3924225703856,0.2870176625362736,0.6231522320861709,0.083321472547178,0.0375403875724444,500.0,0.0464492652963999,0.0464492652963999,0.0464492652963999,0.0219069639268692,0.0219069639268692,0.0219069639268692,0.0,0.0
C4_distance_stratified_random_4239,probability_sample,distance_stratified_random,preferred,D75_95,4,4239,7.651589896749479,45.05397137932152,1393850.0,4989850.0,0.9091516366065464,0.9990204031518022,0.1212004888397076,5,4,False,0.0668002672010688,0.0094464386926128,22.40683739966268,0.2337737464930544,0.9626673792936028,0.0577735378275198,0.0218858563379933,500.0,0.0474341649025256,0.0474341649025256,0.0474341649025256,0.0252314333384075,0.0252314333384075,0.0252314333384075,0.0,0.0
C4_distance_stratified_random_4373,probability_sample,distance_stratified_random,preferred,D25_50,4,4373,7.6934669207674125,45.05535850931726,1397150.0,4989950.0,0.4816299265197061,0.6544479782948782,0.2264330920066731,5,4,False,0.0832776664439991,0.0117765602367907,13.720472765109372,0.2085951058278036,0.64163854489522,0.0550616967462917,0.1000879792574886,500.0,0.0397049621365496,0.0397049621365496,0.0397049621365496,0.0174702748199078,0.0174702748199078,0.0174702748199078,0.0,0.0
C4_distance_stratified_random_5125,probability_sample,distance_stratified_random,preferred,D50_75,4,5125,7.698402586035936,45.06171605708436,1397550.0,4990650.0,0.6479625918503674,0.7392812785691183,0.1192190088738856,2,4,False,0.0832776664439991,0.0117765602367907,13.220002251442208,0.1932549900326464,0.4603363717354928,0.086394781881316,0.1190479989632083,500.0,0.0524622064444761,0.0524622064444761,0.0524622064444761,0.0314439524570102,0.0314439524570102,0.0314439524570102,0.0,0.0
C4_distance_stratified_random_5216,probability_sample,distance_stratified_random,preferred,D25_50,4,5216,7.661557754662083,45.06219018259696,1394650.0,4990750.0,0.4308617234468938,0.6258149744524961,0.410918159244254,5,4,False,0.0832776664439991,0.0117765602367907,18.463889380145243,0.3175775895412994,0.7121490271425728,0.0775601041189069,0.0065333574471155,500.0,0.0602127127461942,0.0602127127461942,0.0602127127461942,0.0368896509475484,0.0368896509475484,0.0368896509475484,0.0,0.0
C4_distance_stratified_random_5551,probability_sample,distance_stratified_random,preferred,D00_25,4,5551,7.628478901617562,45.06449805431045,1392050.0,4991050.0,0.0948563794255177,0.3580242270943107,0.5471798909572992,5,4,False,0.0832776664439991,0.0117765602367907,17.926027044691246,0.2514869126962148,0.7746620238798018,0.0637089040910792,0.0679207947614494,500.0,0.0341397878457856,0.0341397878457856,0.0341397878457856,0.0127490576247671,0.0127490576247671,0.0127490576247671,0.0,0.0
C4_distance_stratified_random_5733,probability_sample,distance_stratified_random,preferred,D50_75,4,5733,7.707189761217508,45.06631673638208,1398250.0,4991150.0,0.554442217768871,0.6914418085684206,0.3135525544757376,2,4,False,0.0832776664439991,0.0117765602367907,13.35958386984189,0.2144231656445519,0.5426843066975008,0.0931458938232568,0.1134293692232647,500.0,0.0429372484672233,0.0429372484672233,0.0429372484672233,0.021025821263802,0.021025821263802,0.021025821263802,0.0,0.0
C4_distance_stratified_random_612,probability_sample,distance_stratified_random,preferred,D25_50,4,612,7.632091667393316,45.01953294938055,1392250.0,4986050.0,0.2818971275885104,0.5250545343315505,0.2167536466331457,5,4,False,0.0832776664439991,0.0117765602367907,16.686862472712214,0.2505332458523468,0.6499096792205816,0.0541117966148783,0.0552245763928591,500.0,0.0215283608208963,0.0215283608208963,0.0215283608208963,0.0056019504920222,0.0056019504920222,0.0056019504920222,0.0,0.0
C4_distance_stratified_random_6456,probability_sample,distance_stratified_random,preferred,D75_95,4,6456,7.691827728085912,45.071542722102734,1397050.0,4991750.0,0.8851035404141616,0.9579032005196692,0.4197210074007048,2,4,False,0.0668002672010688,0.0094464386926128,17.74476833725506,0.282641952776075,0.5297516594111149,0.1197738545736455,0.0897078512114287,500.0,0.0379256663011154,0.0379256663011154,0.0379256663011154,0.0153711948181325,0.0153711948181325,0.0153711948181325,0.0,0.0
C4_distance_stratified_random_7004,probability_sample,distance_stratified_random,preferred,D75_95,4,7004,7.727308604439331,45.07554445049082,1399850.0,4992150.0,0.8690714762859052,0.9290546301248058,0.3139364429116646,2,4,False,0.0668002672010688,0.0094464386926128,19.262716136993873,0.1180266413289187,0.41015415431151,0.1037166044845433,0.1241935913938737,500.0,0.0629832912538631,0.0629832912538631,0.0548659636988428,0.0433086841555786,0.0433086841555786,0.0388861131320751,0.0,0.0044225710235035
C4_distance_stratified_random_9106,probability_sample,distance_stratified_random,preferred,D95_100,4,9106,7.640536920204033,45.09164719567556,1393050.0,4994050.0,0.9792919171676688,1.324527252189922,0.0292732187103812,3,4,False,0.0167000668002672,0.0023616096731532,16.10895935395009,0.4248650275497455,0.177338025384832,0.0551118376715231,0.1500533552577333,500.0,0.0765404957430018,0.0765404957430018,0.0765404957430018,0.0607634692962247,0.0607634692962247,0.0607634692962247,0.0,0.0
C4_distance_stratified_random_964,probability_sample,distance_stratified_random,preferred,D50_75,4,964,7.668783960922364,45.02446758581261,1395150.0,4986550.0,0.7120908483633934,0.7825937551024267,0.2932674689694478,2,4,False,0.0832776664439991,0.0117765602367907,18.51537828848239,0.1636199626644484,0.4758469481855444,0.0607424157613021,0.2073932873385862,500.0,0.0530141705877308,0.0530141705877308,0.0530141705877308,0.0309432220505166,0.0309432220505166,0.0309432220505166,0.0,0.0
C4_risk_boundary_5707,purposive_stress,risk_boundary,not_applicable,D75_95,4,5707,7.674172493913885,45.065938049938424,1395650.0,4991150.0,0.7875751503006012,0.840867434258263,0.0001614223591386,5,4,False,0.0,0.0,18.522727501230563,0.3685284941496221,0.7057323367936831,0.0618584009300769,0.0,500.0,0.0748285712044079,0.0748285712044079,0.0748285712044079,0.0574141348163701,0.0574141348163701,0.0574141348163701,0.0,0.0
C4_risk_cleanup_9490,purposive_stress,risk_cleanup,not_applicable,D95_100,4,9490,7.625205382160339,45.09506423480099,1391850.0,4994450.0,0.9993319973279892,2.1822683418650093,0.0089894121373941,3,3,True,0.0,0.0,26.160935188908013,0.0130816380199545,0.0798224916071248,0.0200093546200329,0.0598643192680358,500.0,0.1369014577439557,0.1369014577439557,0.0457060290978161,0.1308698960050221,0.1308698960050221,0.0236741651572006,0.0,0.1071957308478215
C4_risk_morphology_extreme_4954,purposive_stress,risk_morphology_extreme,not_applicable,D95_100,4,4954,7.632395710827075,45.06004421465288,1392350.0,4990550.0,1.0,2.6284061044170444,0.0255348112041218,2,4,False,0.0,0.0,15.930555236712804,0.0891104752921463,0.3376172232268214,0.1986992921640858,0.0607197854560967,500.0,0.0715133221934315,0.0715133221934315,0.0471807947925877,0.055440307897107,0.055440307897107,0.0293025646796258,0.0,0.0261377432174812
C5_distance_stratified_random_10265,probability_sample,distance_stratified_random,preferred,D25_50,5,10265,7.6644445197581055,45.10183116676189,1394950.0,4995150.0,0.3139398672393596,0.5452145601044173,0.4405686557471105,3,5,False,0.0833007939606924,0.0201524025442408,11.835286809180005,0.3097206577151376,0.7811709622250597,0.0308739920710846,0.0444447709559625,500.0,0.0428440945563815,0.0358363861925622,0.0358363861925622,0.0198605383042645,0.0135235968304618,0.0135235968304618,-0.0063369414738027,0.0
C5_distance_stratified_random_10277,probability_sample,distance_stratified_random,preferred,D25_50,5,10277,7.679692662880105,45.102008537890015,1396150.0,4995150.0,0.3412729402577118,0.5594309227608576,0.6231598587500258,4,5,False,0.0833007939606924,0.0201524025442408,15.401484566267772,0.3627860167024227,1.144703610060608,0.0228340417679889,0.0511137437633716,500.0,0.0458680856210373,0.0721806460354883,0.0721806460354883,0.0236340512607431,0.0545167960378112,0.0545167960378112,0.030882744777068,0.0
C5_distance_stratified_random_1121,probability_sample,distance_stratified_random,preferred,D95_100,5,1121,7.662397229283551,45.02619327287652,1394650.0,4986750.0,0.9988285825849278,1.7595080926975026,0.0229335410837866,3,5,False,0.016790316282702,0.0040619686378235,24.57553645712348,0.1854176836702254,0.3077722994140355,5.0184775846297614e-05,0.0699835756302723,500.0,0.066826292914223,0.0459923559263163,0.0459923559263163,0.0515581398114974,0.0251695778351927,0.0251695778351927,-0.0263885619763046,0.0
C5_distance_stratified_random_1760,probability_sample,distance_stratified_random,preferred,D95_100,5,1760,7.667326988211133,45.0325521260496,1395050.0,4987450.0,0.9535337758688012,0.9845652982799384,0.3648526886328758,4,5,False,0.016790316282702,0.0040619686378235,22.156956137228256,0.3419637600184309,0.8460732840406081,0.0117316205559188,0.0976506668504212,500.0,0.0525600330824246,0.0767415754750493,0.0767415754750493,0.0303786661353717,0.0612539626898168,0.0612539626898168,0.0308752965544451,0.0
C5_distance_stratified_random_1962,probability_sample,distance_stratified_random,preferred,D00_25,5,1962,7.653324277112491,45.03418814002211,1393950.0,4987650.0,0.0292854353768059,0.293082760867296,0.6361504077772181,4,5,False,0.0833007939606924,0.0201524025442408,16.365744622201735,0.3180540302492418,0.836216052326078,0.0438572376707761,0.0765512712179707,500.0,0.0083447410502871,0.0556202059141826,0.0556202059141826,0.0011120962147528,0.0319261866293809,0.0319261866293809,0.0308140904146281,0.0
C5_distance_stratified_random_3623,probability_sample,distance_stratified_random,preferred,D25_50,5,3623,7.639022007119798,45.048421231343376,1392850.0,4989250.0,0.4662241311987505,0.6165560576380382,0.5329476968204594,4,5,False,0.0833007939606924,0.0201524025442408,16.944042213362156,0.3714497190881337,1.1473033338853602,0.0380338456872447,0.0171217663483804,500.0,0.0553011679630927,0.0789196458575626,0.0789196458575626,0.03357465272994,0.0646094828486701,0.0646094828486701,0.03103483011873,0.0
C5_distance_stratified_random_4354,probability_sample,distance_stratified_random,preferred,D75_95,5,4354,7.669343594965428,45.0550798696523,1395250.0,4989950.0,0.8164779383053494,0.7970459736818912,0.3742549814375983,4,5,False,0.0666406351685539,0.0161219220353926,18.991715180078018,0.395172687330352,1.0956337999590526,0.0469222751913943,0.0,500.0,0.0689699160146544,0.0921582914605707,0.0891294784397431,0.0511110350075536,0.0822242319214262,0.0783893550281871,0.0311131969138725,0.0038348768932391
C5_distance_stratified_random_4658,probability_sample,distance_stratified_random,preferred,D00_25,5,4658,7.664202163867622,45.0577203245024,1394850.0,4990250.0,0.2124170245997657,0.481668643271082,0.549900407617256,4,5,False,0.0833007939606924,0.0201524025442408,17.628129509396793,0.3564637927475341,1.007979394027073,0.0434031275542281,0.0293176864636834,500.0,0.0488567938097647,0.07410038852738,0.07410038852738,0.0257834789232975,0.0569480897968215,0.0569480897968215,0.031164610873524,0.0
