precision,comparator,period,variable,scope,cluster,n_supports,weighted_mean_support_rmse,weighted_pooled_hourly_rmse,weighted_median_support_rmse,weighted_p95_support_rmse,observed_maximum_support_rmse,unweighted_mean_support_rmse
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,1.0,15,0.0592644733006986,0.0648421842940836,0.0617002566913147,0.0953136897489123,0.1251228904114592,0.0676926312525374
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,2.0,15,0.0658792176209141,0.0778967444210607,0.0627612935141567,0.1572474990461984,0.1572474990461984,0.0693831613122425
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,3.0,15,0.0495774694991265,0.0544004602470613,0.0440958551844098,0.1019393012008914,0.1019393012008914,0.051050957223525
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,4.0,15,0.0480790342914332,0.0501778077502207,0.0477165278594889,0.0693122603536846,0.0875959011275834,0.0508428560543164
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,5.0,15,0.0497132975367841,0.053955486652692,0.0525315413968603,0.0758977838170683,0.1169395715229799,0.0558590440543782
precision1,assigned_class_medoid,summer_night,dry_bulb_temperature,class,6.0,15,0.1680737326485531,0.1964655944257136,0.1596757871837507,0.4180196612104148,0.4180196612104148,0.1622718119524508
precision1,assigned_class_medoid,summer_night,relative_humidity,citywide_nonmedoid,,105,0.1619673511279707,0.2214364564038046,0.1309207967020805,0.3667970458710715,1.531486473878281,0.227336036788876
precision1,assigned_class_medoid,summer_night,relative_humidity,class,0.0,15,0.1706617694041566,0.1943377332313286,0.1309207967020805,0.3198217855292057,0.3198217855292057,0.1700333870433952
precision1,assigned_class_medoid,summer_night,relative_humidity,class,1.0,15,0.1695652507810608,0.1997621432526761,0.1593617735323876,0.3398073492559847,0.4601763738850217,0.2073620706257624
precision1,assigned_class_medoid,summer_night,relative_humidity,class,2.0,15,0.2035393983839939,0.2664469665006037,0.1656801404071072,0.5897886380075226,0.5897886380075226,0.2176093288082437
precision1,assigned_class_medoid,summer_night,relative_humidity,class,3.0,15,0.1289954661979387,0.1567889500459595,0.090837030555928,0.3667970458710715,0.3667970458710715,0.1331920093813017
precision1,assigned_class_medoid,summer_night,relative_humidity,class,4.0,15,0.1118536092326327,0.12209958153793,0.1010644621066712,0.1947980131779307,0.2986231306091184,0.1248645457102398
precision1,assigned_class_medoid,summer_night,relative_humidity,class,5.0,15,0.1221669386439974,0.1414986116317528,0.1189472644932153,0.2297341458681704,0.4162183380367001,0.1477253848345903
precision1,assigned_class_medoid,summer_night,relative_humidity,class,6.0,15,0.6123438819481049,0.7228293578906724,0.5903250007897151,1.531486473878281,1.531486473878281,0.5905655311185992
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,citywide_nonmedoid,,105,0.0510691193000734,0.0586454450693261,0.0488567938097647,0.089238278331861,0.3510551609468194,0.0629894474433904
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,0.0,15,0.050291381899215,0.0526118155256916,0.0484932796737443,0.0737916355656388,0.0737916355656388,0.0506092819582885
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,1.0,15,0.0499344987828951,0.0536222143598073,0.0508714020190027,0.0780908030179081,0.0996913043569175,0.0564947882270111
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,2.0,15,0.0571367583938734,0.0654743155814446,0.0501936887735307,0.1293865046282211,0.1293865046282211,0.0603075218056506
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,3.0,15,0.0440992197164193,0.0467539225499559,0.0445935474579657,0.076480815035492,0.076480815035492,0.0462955326231037
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,4.0,15,0.04485768985586,0.046427756711121,0.0464492652963999,0.0629832912538631,0.0765404957430018,0.0473631791324548
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,5.0,15,0.0468165566529877,0.0508690610003545,0.0525600330824246,0.072125271538626,0.1115376136978301,0.052442478199151
precision1,assigned_class_medoid,whole_year,dry_bulb_temperature,class,6.0,15,0.1309502494780727,0.152353796297443,0.1214119746149805,0.3510551609468194,0.3510551609468194,0.1274133501580731
precision1,assigned_class_medoid,whole_year,relative_humidity,citywide_nonmedoid,,105,0.1496365987051088,0.1938432888880933,0.1210635894646443,0.3305108817003979,1.3835667129976308,0.2023188341010847
precision1,assigned_class_medoid,whole_year,relative_humidity,class,0.0,15,0.1524629366022468,0.1700576790057135,0.1210635894646443,0.2819837587213994,0.2819837587213994,0.1526805335326197
precision1,assigned_class_medoid,whole_year,relative_humidity,class,1.0,15,0.1553767919698291,0.1782323260229661,0.1442821943213143,0.3015750131965095,0.3885827779797578,0.1867874757518683
precision1,assigned_class_medoid,whole_year,relative_humidity,class,2.0,15,0.1895709837092349,0.2402033646776224,0.1386003090259918,0.5202771916626593,0.5202771916626593,0.203315873609215
precision1,assigned_class_medoid,whole_year,relative_humidity,class,3.0,15,0.1164659129311584,0.1343120447601498,0.1008695074551599,0.272293656952266,0.272293656952266,0.1234159869595935
precision1,assigned_class_medoid,whole_year,relative_humidity,class,4.0,15,0.1090122885394033,0.1173043913695639,0.0986958336502036,0.1881112563055663,0.2482150893753386,0.1191710197807487
precision1,assigned_class_medoid,whole_year,relative_humidity,class,5.0,15,0.1256317186888837,0.1449649050290782,0.1305284307454768,0.2233130570772503,0.4354470751436294,0.1508777547643079
precision1,assigned_class_medoid,whole_year,relative_humidity,class,6.0,15,0.4944022056028808,0.5868660119876946,0.4654709894387968,1.3835667129976308,1.3835667129976308,0.4799831943092398
precision1,assigned_class_medoid,winter,dry_bulb_temperature,citywide_nonmedoid,,105,0.0523741089822904,0.0600046616191043,0.0499541914699982,0.0942606665586089,0.3810050329914752,0.0639051203495593
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,0.0,15,0.05263683408582,0.055256294092263,0.0487715388691294,0.080235459353885,0.080235459353885,0.0529943698027168
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,1.0,15,0.0521485856658744,0.0564197503829262,0.0530222152626171,0.0842984407105321,0.1029998755289265,0.0590314443205388
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,2.0,15,0.0608916494251493,0.0703866559171865,0.0525015262293417,0.1388977408656541,0.1388977408656541,0.0642503901250593
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,3.0,15,0.0444824479935649,0.0471211475941665,0.0443976783869815,0.0723588685705205,0.0723588685705205,0.0468367457931178
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,4.0,15,0.0453804356669364,0.0472162557365322,0.0452151956693092,0.0660225291773524,0.0724379234051663,0.0475439547729776
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,5.0,15,0.0481329008475539,0.052080164581438,0.0541543378474181,0.0713392298408506,0.1108987592290139,0.0537171880653894
precision1,assigned_class_medoid,winter,dry_bulb_temperature,class,6.0,15,0.1257367880498649,0.1489822570654885,0.1113108704939005,0.3810050329914752,0.3810050329914752,0.1229617495671151
precision1,assigned_class_medoid,winter,relative_humidity,citywide_nonmedoid,,105,0.1667717423771524,0.2142020968447291,0.1401856435303367,0.3677597758690484,1.583101004739998,0.2219235440660308
precision1,assigned_class_medoid,winter,relative_humidity,class,0.0,15,0.1725436305077342,0.193045752681857,0.1368804724431639,0.3318660471637213,0.3318660471637213,0.1729973524631488
precision1,assigned_class_medoid,winter,relative_humidity,class,1.0,15,0.1776947111501881,0.2041234149987678,0.1660450863349188,0.3494763219929207,0.4344484103382371,0.2128075224586115
precision1,assigned_class_medoid,winter,relative_humidity,class,2.0,15,0.2186954478716755,0.2781858348728366,0.1591889355957792,0.5973939895534426,0.5973939895534426,0.2347841992971526
precision1,assigned_class_medoid,winter,relative_humidity,class,3.0,15,0.1262309742442905,0.145796218583458,0.1162308710481658,0.2730282291621399,0.2730282291621399,0.1348561672578091
precision1,assigned_class_medoid,winter,relative_humidity,class,4.0,15,0.1202361477422582,0.1300342035803574,0.1120386347545152,0.2159345902183049,0.2460493711438683,0.1296283275820624
precision1,assigned_class_medoid,winter,relative_humidity,class,5.0,15,0.1421939876515135,0.1634719953881934,0.1487355127306615,0.2583717329371624,0.4813009879749274,0.1700732582964776
precision1,assigned_class_medoid,winter,relative_humidity,class,6.0,15,0.5105722536250732,0.6158864232135127,0.4595994832260856,1.583101004739998,1.583101004739998,0.4983179811069539
precision1,assigned_class_medoid,winter_day,dry_bulb_temperature,citywide_nonmedoid,,105,0.0427889521501113,0.0475545085828757,0.0406562467885367,0.0702885210434548,0.2630303816766833,0.0512184397748465
