sample_id,selection_group,selection_role,selection_tier,cluster,cluster_medoid_grid_id,four_file_representative_cluster,grid_id,grid_row,grid_col,center_lon,center_lat,center_x_3003,center_y_3003,macroblock_id,distance_stratum,distance_percentile,distance_to_medoid_k7,second_nearest_cluster,second_nearest_distance,assignment_margin,relative_assignment_margin,cleanup_cluster,cleanup_changed,spatial_component_id,spatial_component_size,same_label_neighbor_share,stratum_population,stratum_sample_size,inclusion_probability,within_cluster_weight,citywide_nonmedoid_weight,built_frac,avg_height_m,facade_to_site_ratio,uwg_treecover,uwg_grasscover,charlength_m,road_frac,green_pct,tree_canopy_pct,tree_count,tree_density_ha,tree_mean_height_m,building_count,height_valid_footprint_frac
C1_distance_stratified_random_8769,probability_sample,distance_stratified_random,preferred,1,3788,1,8769,90,115,7.723197474582995,45.08900098869453,1399550.0,4993650.0,9_11,D95_100,0.9938786867000556,2.2025070870385264,2,2.30253018186433,0.1000230948258003,0.0434405140977621,1,False,C1_component_0012,140,0.75,90.0,3.0,0.0333333333333333,0.01669449081803,0.0028339316077838,0.0126093047489767,3.8803646267260943,0.0179875333477192,0.0938487679129658,0.6359727889705982,500,0.0388113986710358,72.9821556883564,9.384876791296584,818,32.72,18.893103448275863,35,0.9615727165502964
C1_distance_stratified_random_9179,probability_sample,distance_stratified_random,preferred,1,3788,1,9179,94,123,7.733281245515811,45.09271397130177,1400350.0,4994050.0,9_12,D95_100,0.9504730105731776,1.1946920155647902,0,1.2308492333672965,0.0361572178025044,0.0293758299735763,1,False,C1_component_0002,1289,0.5,90.0,3.0,0.0333333333333333,0.01669449081803,0.0028339316077838,0.0090736946593114,4.3247737078122475,0.014054232477362,0.0472910858225656,0.2835177387803968,500,0.0715685259304365,33.080882460296245,4.729108582256561,836,33.44,12.0,26,0.9301026151046072
C1_distance_stratified_random_12739,probability_sample,distance_stratified_random,preferred,1,3788,1,12739,137,109,7.714625569887087,45.13121225961521,1398950.0,4998350.0,13_10,D95_100,0.9671675013912076,1.4637096055791958,3,2.028667386429507,0.5649577808503112,0.2784871411792387,1,False,C1_component_0026,1,,90.0,3.0,0.0333333333333333,0.01669449081803,0.0028339316077838,0.0633810850199033,17.484892521044035,0.2768384608607654,0.0,0.4963971124110392,500,0.2590773311061888,49.639711241103925,0.0,0,0.0,,93,0.9969735890767056
C1_risk_boundary_4928,purposive_stress,risk_boundary,not_applicable,1,3788,1,4928,58,131,7.744155463740197,45.06042821664022,1401150.0,4990450.0,5_13,D50_75,0.7173066221480244,0.6842428184047838,0,0.6842737730124353,3.095460765112357e-05,4.5237168034147395e-05,1,False,C1_component_0007,40,0.5,,,,0.0,0.0,0.0349236247810684,6.488179577627693,0.0884105518679827,0.0,0.2761365325261015,500,0.0843645791363842,27.61365325261015,0.0,0,0.0,,145,0.9487326528878882
C1_risk_cleanup_11040,purposive_stress,risk_cleanup,not_applicable,1,3788,1,11040,112,105,7.710047441862031,45.10865668716389,1398550.0,4995850.0,11_10,D75_95,0.9460211463550362,1.1587459974019645,0,1.1800239116630462,0.0212779142610815,0.0180317653318514,0,True,C1_component_0017,1,0.0,,,,0.0,0.0,0.0256504701508352,14.299390935615682,0.0912056407021042,0.0045563148874344,0.2758502796941793,500,0.1386819889384606,28.040659458161375,0.4556314887434403,25,1.0,16.38095238095238,64,0.8345428166898506
C1_risk_morphology_extreme_122,purposive_stress,risk_morphology_extreme,not_applicable,1,3788,1,122,5,54,7.647508496617989,45.01161508703326,1393450.0,4985150.0,0_5,D95_100,1.0,2.680045513606842,2,2.928963621984319,0.248918108377476,0.0849850460788033,1,False,C1_component_0001,48,1.0,,,,0.0,0.0,0.02467376628852,22.818252272190666,0.1113565517470353,0.0388669207051448,0.7180219705614908,500,0.1775609243529055,75.68888912666355,3.8866920705144823,285,11.4,11.245283018867925,42,0.919047090824998
C2_distance_stratified_random_3336,probability_sample,distance_stratified_random,preferred,2,10026,2,3336,43,57,7.650510842690948,45.04585711774437,1393750.0,4988950.0,4_5,D00_25,0.1271794871794871,0.5579715902509343,4,1.0895011590729806,0.5315295688220463,0.4878650787983619,2,False,C2_component_0016,46,0.75,243.0,3.0,0.0123456790123456,0.083076923076923,0.0076516153410164,0.1359529274197665,14.824411961617535,0.4083092718740957,0.0765062609600288,0.2696561180316573,500,0.243104661924755,34.61623789916862,7.650626096002883,593,23.72,13.708688245315162,156,0.9826353000048622
C2_distance_stratified_random_8811,probability_sample,distance_stratified_random,preferred,2,10026,2,8811,91,54,7.645682496774693,45.0890078707187,1393450.0,4993750.0,9_5,D00_25,0.1641025641025641,0.59752398352644,3,1.7213647082238177,1.1238407246973774,0.6528777541030265,2,False,C2_component_0029,160,1.0,243.0,3.0,0.0123456790123456,0.083076923076923,0.0076516153410164,0.0723666083170298,13.45734395917509,0.0674891992606967,0.0789379625688864,0.323129684913119,500,0.1897470953165262,40.20676474820055,7.893796256888644,686,27.44,14.776923076923078,38,0.97893950534158
C2_distance_stratified_random_9808,probability_sample,distance_stratified_random,preferred,2,10026,2,9808,101,43,7.631493394470315,45.09784027021394,1392350.0,4994750.0,10_4,D00_25,0.2112820512820512,0.6318458131344992,3,1.2489890614426575,0.6171432483081578,0.4941142139350045,2,False,C2_component_0035,118,0.75,243.0,3.0,0.0123456790123456,0.083076923076923,0.0076516153410164,0.105587025498696,14.736347139941484,0.2447858744174917,0.0575103290682196,0.2930066551814246,500,0.2631602253949353,35.05169842496443,5.751032906821968,449,17.96,16.240506329113924,66,0.9824129346820653
C2_distance_stratified_random_7646,probability_sample,distance_stratified_random,preferred,2,10026,2,7646,80,118,7.727208670694564,45.08004415466845,1399850.0,4992650.0,8_11,D25_50,0.483076923076923,0.8261824360689677,0,1.468066896280671,0.6418844602117034,0.4372310702175149,2,False,C2_component_0024,267,1.0,244.0,3.0,0.0122950819672131,0.0834188034188034,0.0076831034699918,0.0481709180985038,6.437327879989613,0.1160584991932679,0.0668193160110048,0.2699091738589403,500,0.1607274130244988,33.67284898699451,6.68193160110048,386,15.44,16.711309523809526,175,0.9256058826365288
C2_distance_stratified_random_8368,probability_sample,distance_stratified_random,preferred,2,10026,2,8368,87,32,7.617821260948846,45.08507328889955,1391250.0,4993350.0,8_3,D25_50,0.2523076923076923,0.6584182121898505,3,1.1266716073929126,0.4682533952030615,0.4156076998217671,2,False,C2_component_0026,8,0.75,244.0,3.0,0.0122950819672131,0.0834188034188034,0.0076831034699918,0.1454816663848667,12.82391362026674,0.4650952065473668,0.0567750910799817,0.2974770818001518,500,0.2770954881038843,35.42521728801336,5.677509107998175,462,18.48,9.43961038961039,130,0.9883811692430368
